,mbid,Song,Artist,Album,Date,Year,Month,User
16769,5264b2a3-b870-437e-ad6a-8ae9b45957c0,I'm A Kid,Jadu Heart,Melt Away,2021-11-12 12:54:00,2021,11,wuhuspringfield
16770,,Capricorn,Andrew Applepie,2019,2021-11-12 12:50:00,2021,11,wuhuspringfield
16771,0cdf1143-3e21-4d3f-ac7a-ee325bce7f39,Priest,group project,Priest,2021-11-12 12:47:00,2021,11,wuhuspringfield
16772,,Without U,vncnt,Without U,2021-11-12 12:44:00,2021,11,wuhuspringfield
16773,e3790375-0442-4e56-a0ff-298b0d4c24c7,Kids in the Summer,Kid Quill,Kids in the Summer,2021-11-12 12:38:00,2021,11,wuhuspringfield
16774,b531aca1-459d-4297-b1c5-15714fea4bf9,pop a pill,gianni & kyle,pop a pill,2021-11-12 12:35:00,2021,11,wuhuspringfield
16775,,Blast Off,Nate Good,Blast Off,2021-11-12 12:32:00,2021,11,wuhuspringfield
16776,,Cross My Heart,Nate Good,Cross My Heart,2021-11-12 12:30:00,2021,11,wuhuspringfield
16777,,Runaway (U & I),Galantis,Pharmacy,2021-11-12 12:18:00,2021,11,wuhuspringfield
16778,,Unter meiner Haut - Radio Mix,Gestört Aber GeiL,Unter meiner Haut,2021-11-12 12:15:00,2021,11,wuhuspringfield
16779,,Desire - Gryffin Remix,Years & Years,Desire (Gryffin Remix),2021-11-12 12:10:00,2021,11,wuhuspringfield
16780,,Are You With Me,Lost Frequencies,Armada - Amsterdam Dance Event 2014,2021-11-12 12:08:00,2021,11,wuhuspringfield
16781,,Bang My Head (feat. Sia & Fetty Wap),David Guetta,Listen Again,2021-11-12 12:05:00,2021,11,wuhuspringfield
16782,d9890c3a-219a-498f-91ef-12921eee9e30,Myself,NAV,NAV,2021-11-12 10:43:00,2021,11,wuhuspringfield
16783,d2c4c05c-acfe-46c2-a46c-7950dca19d93,XO TOUR Llif3,Lil Uzi Vert,Luv Is Rage 2,2021-11-12 10:40:00,2021,11,wuhuspringfield
16784,56193a8a-4394-4f62-904f-af9bfff5d3fe,Whoa (mind in awe),XXXTENTACION,SKINS,2021-11-12 10:36:00,2021,11,wuhuspringfield
16785,a2d5a387-bb9f-4696-b3de-6ee46713fa0d,Rich and Blind,Juice WRLD,Rich And Blind,2021-11-12 10:33:00,2021,11,wuhuspringfield
16786,bb754cdf-2f29-466c-944d-4012b004b2e5,Already Dead,Juice WRLD,Already Dead,2021-11-12 10:29:00,2021,11,wuhuspringfield
16787,,Racer++,Elroy,Demonslayer,2021-11-12 08:29:00,2021,11,wuhuspringfield
16788,,Still New York (feat. Joey Bada$$),MAX,Still New York (feat. Joey Bada$$),2021-11-12 08:06:00,2021,11,wuhuspringfield
16789,dd397b2d-b020-49a4-a3eb-81ca3ccf2429,Cloudy Day,Tones and I,Cloudy Day,2021-11-12 08:03:00,2021,11,wuhuspringfield
16790,,Graduation (with Juice WRLD),Benny Blanco,Graduation (with Juice WRLD),2021-11-12 08:00:00,2021,11,wuhuspringfield
16791,ce1704ad-fef6-429e-a0dd-56f1ec26d67e,The Holiday,Bryce Vine,The Holiday,2021-11-12 07:57:00,2021,11,wuhuspringfield
16792,08bdfe4b-ac3f-4359-a061-e32c740a82d3,Intro,Logic,Intro,2021-11-12 07:55:00,2021,11,wuhuspringfield
16793,a1408cdf-1d07-4137-828e-1ca8718ca5ba,lights (4444),"nothing,nowhere.",Trauma Factory,2021-11-12 07:52:00,2021,11,wuhuspringfield
16794,,Matt Hardy 999 (feat. Juice WRLD),Trippie Redd,Matt Hardy 999 (feat. Juice WRLD),2021-11-12 07:49:00,2021,11,wuhuspringfield
