,mbid,Song,Artist,Album,Date,Year,Month
167,1db3ded5-6a4f-4687-bf79-76464cf1d57f,No Face,Haley Heynderickx,I Need to Start a Garden,2022-11-08 00:28:00,2022,11
168,62f32a77-fe71-4681-b89f-41f00c2a2bec,Decimal,Novo Amor,"Cannot Be, Whatsoever",2022-11-08 00:25:00,2022,11
169,62f32a77-fe71-4681-b89f-41f00c2a2bec,Decimal,Novo Amor,"Cannot Be, Whatsoever",2022-11-07 23:32:00,2022,11
170,7c3b4afa-6505-474e-ba80-7f075b7b73ef,Opaline,Novo Amor,"Cannot Be, Whatsoever",2022-11-07 23:29:00,2022,11
171,0361e51d-c9ac-34be-bc30-a19b00675347,17,Youth Lagoon,The Year of Hibernation,2022-11-07 23:25:00,2022,11
172,24ed7641-bcc6-44d5-9723-9eefa0ac13e5,Tenenbaum,The Paper Kites,States,2022-11-07 23:21:00,2022,11
173,1cd5cd68-2175-4df3-8d75-e259eb4590c2,Beret Girl,Bibio,Ribbons,2022-11-07 23:20:00,2022,11
174,27c6a93a-c77f-418f-99e9-b832f7a02f62,Et ducit mundum per luce,Angels & Airwaves,"Love, Pt. 1 & 2",2022-11-07 23:13:00,2022,11
175,0ae8c5fc-f539-422b-bcc0-ea228ad8590d,Anomaly,Angels & Airwaves,The Dream Walker,2022-11-07 22:58:00,2022,11
176,047196e9-ee67-425d-8eae-d739e4f42099,Call to Arms,Angels & Airwaves,I-Empire,2022-11-07 22:53:00,2022,11
177,4df1aba6-469a-301a-8187-30a699186af6,The War,Angels & Airwaves,We Don't Need to Whisper,2022-11-07 22:46:00,2022,11
178,4f72791a-fbd0-368b-8b35-3e928c2c9963,Surrender,Angels & Airwaves,"Love, Pt. 1 & 2",2022-11-07 22:41:00,2022,11
179,,Paper Thin,Illenium,Fallen Embers,2022-11-07 22:37:00,2022,11
180,238cbc22-f3a2-36ae-bf9e-e9ad8c1603a8,Sirens,Angels & Airwaves,I-Empire,2022-11-07 22:33:00,2022,11
181,0831fafb-d4e1-4294-ae26-d1acbec680f4,Everything's Magic,Angels & Airwaves,I-Empire,2022-11-07 22:29:00,2022,11
182,00ef6af7-814b-3f6d-976e-1d8915bf495c,The Adventure,Angels & Airwaves,We Don't Need to Whisper,2022-11-07 22:24:00,2022,11
183,,Bathroom Light,Mt. Joy,Orange Blood,2022-11-07 22:21:00,2022,11
184,3cac33c3-848f-498a-9a24-e6ff88571140,I Should Go - Solo Version,James Vincent McMorrow,I Should Go (Solo Version),2022-11-07 21:50:00,2022,11
185,e9ba89bd-ab94-465a-8c6f-9d37b4b5d2cd,Heartbeats,José González,Veneer,2022-11-07 21:47:00,2022,11
186,08f9a407-1f58-3812-ba85-8ff0d2792cf6,O I Long to Feel Your Arms Around Me,Father John Misty,Fear Fun,2022-11-07 21:46:00,2022,11
187,b0774216-5682-4d59-8b9f-cd86c2431ef7,5AM,Amber Run,5AM (Expanded Edition),2022-11-07 21:41:00,2022,11
188,,Resin,Dustin Tebbutt,Resin,2022-11-07 21:38:00,2022,11
189,24ed7641-bcc6-44d5-9723-9eefa0ac13e5,Tenenbaum,The Paper Kites,States,2022-11-07 21:34:00,2022,11
190,ddb0fdbd-1bdc-4f5a-8ebf-38f01ac49427,Birdcage,Novo Amor,"Cannot Be, Whatsoever",2022-11-07 21:31:00,2022,11
191,,Topanga Canyon,John Vincent III,Songs from the Valley,2022-11-07 21:07:00,2022,11
192,01312e83-c37b-4bac-83f4-2284585c759c,Crosses,José González,Veneer,2022-11-07 20:38:00,2022,11
193,3923d313-61a6-4c2d-8a36-73a823f2d483,Somebody Loves You,AyokAy,Digital Dreamscape (Deluxe),2022-11-07 20:35:00,2022,11
194,,Naked,BAYNK,ADOLESCENCE,2022-11-07 20:32:00,2022,11
195,,light after the darkness,Madson.,light after the darkness,2022-11-07 20:27:00,2022,11
196,,JADED,NVSH,JADED,2022-11-07 20:24:00,2022,11
197,9a7a7965-4eba-4973-be1a-3df36f1b8660,Beige (unburdened),Yoke Lore,Beige (unburdened),2022-11-07 19:54:00,2022,11
198,62f32a77-fe71-4681-b89f-41f00c2a2bec,Decimal,Novo Amor,"Cannot Be, Whatsoever",2022-11-07 19:51:00,2022,11
199,,numb (feat. blackbear),lilspirit,numb (feat. blackbear) [slow + reverb / nitecore],2022-11-07 19:49:00,2022,11
200,,Red Lights - EMBRZ Remix,Lane 8,Red Lights (EMBRZ Remix),2022-11-07 19:10:00,2022,11
201,,Until We Leave the Ground - Steve James Remix,Emmit Fenn,Far from Here (The Remix Album),2022-11-07 19:06:00,2022,11
202,,I’ll Find My Way To You,Elderbrook,I’ll Find My Way To You,2022-11-07 19:02:00,2022,11
203,1950aa53-18ab-47a2-bb38-038a8b0dbeec,Control,Emmit Fenn,The Last Dance,2022-11-07 18:59:00,2022,11
204,,Red Lights - EMBRZ Remix,Lane 8,Red Lights (EMBRZ Remix),2022-11-07 16:27:00,2022,11
205,,Until We Leave the Ground - Steve James Remix,Emmit Fenn,Far from Here (The Remix Album),2022-11-07 16:24:00,2022,11
206,,I’ll Find My Way To You,Elderbrook,I’ll Find My Way To You,2022-11-07 16:19:00,2022,11
