,mbid,Song,Artist,Album,Date,Year,Month
1466,faa3f0c7-fae8-4a82-8f0b-9ba076da176d,We're All In This Together,High School Musical Cast,High School Musical Original Soundtrack,2022-08-11 19:33:00,2022,8
1467,,Start Of Something New,Troy,High School Musical Original Soundtrack,2022-08-11 19:30:00,2022,8
1468,dc4ecb09-4742-4519-a172-7c22d06f2a5e,Commissary,Clever,Who is Clever?,2022-08-11 17:22:00,2022,8
1469,eff0d22b-fe0c-45ea-88a7-1295f56d76f5,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-08-11 17:04:00,2022,8
1470,,I Like You (A Happier Song) (with Doja Cat),Post Malone,Twelve Carat Toothache,2022-08-11 17:01:00,2022,8
1471,7647cc98-687c-4b7d-b073-e37aa33cacdf,banking on me,Gunna,Banking on me,2022-08-11 16:57:00,2022,8
1472,,Jimmy Cooks (feat. 21 Savage),Drake,"HONESTLY, NEVERMIND",2022-08-11 16:57:00,2022,8
1473,7647cc98-687c-4b7d-b073-e37aa33cacdf,banking on me,Gunna,Banking on me,2022-08-11 16:54:00,2022,8
1474,,Die Hard,Kendrick Lamar,Mr. Morale & the Big Steppers,2022-08-11 16:50:00,2022,8
1475,,Cooped Up (with Roddy Ricch),Post Malone,Twelve Carat Toothache,2022-08-11 16:47:00,2022,8
1476,,WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,2022-08-11 16:44:00,2022,8
1477,6d2928dc-3857-4a3e-a320-874579db2691,Feel No Ways,Drake,Views,2022-08-11 16:39:00,2022,8
1478,,Location (feat. Burna Boy),Dave,Psychodrama,2022-08-11 16:35:00,2022,8
1479,,Livin It Up (with Post Malone & A$AP Rocky),Young Thug,PUNK,2022-08-11 16:31:00,2022,8
1480,4382b60a-2da1-4360-8707-40adf44a0604,Hurricane,Kanye West,Donda,2022-08-11 02:52:00,2022,8
1481,,One Right Now (with The Weeknd),Post Malone,Twelve Carat Toothache,2022-08-11 02:49:00,2022,8
1482,,In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),2022-08-11 02:43:00,2022,8
1483,0e360068-12c7-4012-853c-6a6011e0b36a,Pink + White,Frank Ocean,Blonde,2022-08-11 02:42:00,2022,8
1484,0e360068-12c7-4012-853c-6a6011e0b36a,Pink + White,Frank Ocean,Blonde,2022-08-11 02:39:00,2022,8
1485,,Sailing,Rod Stewart,Atlantic Crossing,2022-08-11 02:34:00,2022,8
1486,1a9460b3-314f-4aba-826b-c8288a19d793,I'm Gonna Be,Post Malone,Hollywood's Bleeding,2022-08-11 02:31:00,2022,8
1487,012d3bc2-c975-32ac-bb49-9e9f72db00c5,Charlie Brown,Coldplay,Mylo Xyloto,2022-08-11 02:27:00,2022,8
1488,408ac29f-5353-4e53-b79d-a30f56b1139f,HOW RUDE,Aries,"BELIEVE IN ME, WHO BELIEVES IN YOU",2022-08-11 02:23:00,2022,8
1489,,You Right,Doja Cat,Planet Her,2022-08-11 02:19:00,2022,8
1490,1cf561b9-93b4-4efc-b6e5-fa883f9cfcaf,Sunshine,OneRepublic,Sunshine,2022-08-11 02:16:00,2022,8
1491,,Only You,Theophilus London,Bebey,2022-08-10 22:51:00,2022,8
1492,a3635f8b-93b4-4c1f-8ce3-6a3c45ef035c,Feel Good Inc.,Gorillaz,Demon Days,2022-08-10 22:47:00,2022,8
1493,,I'm Like A Bird - Recorded at Spotify Studios NYC,Alessia Cara,Spotify Singles,2022-08-10 22:43:00,2022,8
1494,263bc949-5e67-4925-acb7-fc1e6167a54e,Is It True,Tame Impala,The Slow Rush,2022-08-10 22:40:00,2022,8
1495,789c26ef-8674-4357-b8fe-7e19bd77374a,Run,OneRepublic,Human (Deluxe),2022-08-10 22:40:00,2022,8
1496,1a67e215-a19e-40c9-9b12-732de134bf5f,Blinding Lights,The Weeknd,Blinding Lights,2022-08-10 22:33:00,2022,8
1497,,One Right Now (with The Weeknd),Post Malone,One Right Now,2022-08-10 22:33:00,2022,8
1498,4382b60a-2da1-4360-8707-40adf44a0604,Hurricane,Kanye West,Donda,2022-08-10 22:26:00,2022,8
1499,2be5504c-70ab-4239-ae4e-87db84c93556,Come to Life,Kanye West,Donda,2022-08-10 22:21:00,2022,8
