,mbid,Song,Artist,Album,Date,Year,Month
907,05fb4eca-b785-34d0-94e0-1578701190ca,Midnight City,M83,"Hurry Up, We're Dreaming",2022-10-01 21:20:00,2022,10
908,b27ae7ed-6a27-4dd0-876c-5f501c880e6f,Dreamland,Glass Animals,Dreamland (+ Bonus Levels),2022-10-01 21:16:00,2022,10
909,134693ab-b197-43d4-8885-8ccae8dc8305,Strangers,Mt. Joy,Rearrange Us,2022-10-01 21:13:00,2022,10
910,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-10-01 21:10:00,2022,10
911,,Victoria’s Secret,Jax,Victoria’s Secret,2022-10-01 21:07:00,2022,10
912,,Happiness,Alexis Jordan,Alexis Jordan,2022-10-01 21:03:00,2022,10
913,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-10-01 16:48:00,2022,10
914,,Victoria’s Secret,Jax,Victoria’s Secret,2022-10-01 16:48:00,2022,10
915,,Happiness,Alexis Jordan,Alexis Jordan,2022-10-01 16:45:00,2022,10
916,,I Am Loving Awareness,East Forest,Ram Dass,2022-10-01 04:19:00,2022,10
917,134693ab-b197-43d4-8885-8ccae8dc8305,Strangers,Mt. Joy,Rearrange Us,2022-10-01 02:09:00,2022,10
918,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-10-01 02:06:00,2022,10
919,,Victoria’s Secret,Jax,Victoria’s Secret,2022-10-01 02:03:00,2022,10
920,,Victoria’s Secret,Jax,Victoria’s Secret,2022-09-30 23:08:00,2022,9
921,,staring at the sea without you next to me,San Holo,stay vibrant,2022-09-30 23:00:00,2022,9
922,,Last Time I Checked,Lil Aaron,Dark Matter,2022-09-30 22:57:00,2022,9
923,,Diva (feat. Lil Tecca),The Kid LAROI,Diva (feat. Lil Tecca),2022-09-30 22:54:00,2022,9
924,,Addison Rae,The Kid LAROI,Addison Rae,2022-09-30 22:46:00,2022,9
925,,Real Shit (with benny blanco),Juice WRLD,Real Shit (with benny blanco),2022-09-30 22:43:00,2022,9
926,,Tell Me U Luv Me (with Trippie Redd),Juice WRLD,Tell Me U Luv Me (with Trippie Redd),2022-09-30 22:40:00,2022,9
927,,Way Up,Bishu,Hali 2 Cali,2022-09-30 22:37:00,2022,9
928,,cheers (with Wiz Khalifa),blackbear,cheers (with Wiz Khalifa),2022-09-30 22:34:00,2022,9
929,,No Angel,Oliver Francis,No Angel,2022-09-30 22:30:00,2022,9
930,fe330b4c-67d3-4f39-b5c8-8e8524795668,"love me, love me not",Ollie,A Means to an End,2022-09-30 21:54:00,2022,9
931,,Hold On (feat. Cheat Codes) - 2020 Edit,Moguai,Hold On (feat. Cheat Codes) [2020 Edit],2022-09-30 21:52:00,2022,9
932,0233dfd7-7773-4a03-bfc4-be78583f073b,blue - Jai Wolf Remix,keshi,trilogy remixes,2022-09-30 21:49:00,2022,9
933,,My Girl,Oshi,My Girl,2022-09-30 21:29:00,2022,9
934,,Catch It,Andrew Applepie,Catch It,2022-09-30 20:20:00,2022,9
935,a891ea14-4fc8-4942-8c61-520a2c390434,Dancing After Death - Stripped,Matt Maeson,Bank On The Funeral (Stripped),2022-09-30 20:15:00,2022,9
936,,Downhill,Saint Christopher,I Learned To Kill My Brother,2022-09-30 20:04:00,2022,9
937,,Context,On Planets,Context,2022-09-30 20:01:00,2022,9
938,7f9ed3d2-1e92-4b2d-8f6a-88eadcbf66f3,Ponyhof,Enno Bunger,"Was berührt, das bleibt",2022-09-30 19:49:00,2022,9
939,,Hoffnung & Melancholie (feat. Philipp Dittberner),Disarstar,Bohemien,2022-09-30 19:41:00,2022,9
940,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-09-30 19:25:00,2022,9
941,064d66ae-989c-4894-b769-e24ec1d8ba72,Fake Empire,The National,Boxer,2022-09-30 18:59:00,2022,9
942,,Yours Now,ATO,Yours Now,2022-09-30 18:56:00,2022,9
943,14fa2f2c-3255-33da-9447-0c68867a8947,Any Other World,Mika,Life in Cartoon Motion,2022-09-30 18:50:00,2022,9
944,,Velvet Skin,Teddybear,Bread & Butterflies,2022-09-30 18:45:00,2022,9
945,5d0cdabc-f451-4dda-b91e-eb601db4c478,Hello Sun,Joey Pecoraro,Sea Monster,2022-09-30 18:42:00,2022,9
946,,Phase,Trille,Phase,2022-09-30 18:38:00,2022,9
947,8c5ffc67-9f32-4d87-ad7b-703343ace4ed,Saturn,Sleeping at Last,Atlas: I,2022-09-30 18:29:00,2022,9
948,b27ae7ed-6a27-4dd0-876c-5f501c880e6f,Dreamland,Glass Animals,Dreamland (+ Bonus Levels),2022-09-30 18:24:00,2022,9
949,,Learning How To Walk,Joey Pecoraro,Learning How To Walk,2022-09-30 18:20:00,2022,9
950,1b8fceb1-41ce-4bdf-8078-5f683833dd6c,22 (OVER S∞∞N),Bon Iver,"22, A Million",2022-09-30 18:17:00,2022,9
951,b4299c16-7200-4b96-856f-3f1a7c74affe,Baby Blue,rence,Baby Blue,2022-09-30 18:14:00,2022,9
952,,Same Kids,jdam,Exxxscape,2022-09-30 18:08:00,2022,9
953,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-09-30 18:01:00,2022,9
954,0802b190-e24b-48f4-9536-189f8b4533da,Outro,M83,"Hurry Up, We're Dreaming",2022-09-30 15:10:00,2022,9
955,05fb4eca-b785-34d0-94e0-1578701190ca,Midnight City,M83,"Hurry Up, We're Dreaming",2022-09-30 15:05:00,2022,9
956,b27ae7ed-6a27-4dd0-876c-5f501c880e6f,Dreamland,Glass Animals,Dreamland (+ Bonus Levels),2022-09-30 15:02:00,2022,9
957,134693ab-b197-43d4-8885-8ccae8dc8305,Strangers,Mt. Joy,Rearrange Us,2022-09-30 14:59:00,2022,9
958,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-09-30 14:56:00,2022,9
